0.015,0.000,0.003
0.030,0.000,0.489
0.045,0.001,1.518
0.060,0.001,1.884
0.075,0.002,2.717
0.090,0.003,2.969
0.105,0.003,3.109
0.120,0.004,3.629
0.135,0.005,3.511
0.150,0.006,3.553
0.165,0.007,3.720
0.180,0.008,4.196
0.195,0.009,4.070
0.210,0.010,4.011
0.225,0.011,4.373
0.240,0.013,4.782
0.255,0.014,4.797
0.269,0.015,4.684
0.284,0.014,355.940
0.299,0.013,355.716
0.314,0.012,355.956
0.329,0.011,355.862
0.344,0.010,356.602
0.359,0.009,356.809
0.374,0.008,357.308
0.389,0.008,357.533
0.404,0.007,357.794
0.419,0.007,358.336
0.434,0.007,1.158
0.449,0.007,0.764
0.464,0.008,1.163
0.479,0.008,1.923
0.494,0.009,2.578
0.509,0.009,2.841
0.524,0.010,3.146
0.539,0.011,3.996
0.554,0.012,4.214
0.569,0.014,5.337
0.584,0.015,5.816
0.599,0.017,6.450
0.614,0.019,7.600
0.629,0.021,8.076
0.643,0.023,8.553
0.658,0.026,10.710
0.673,0.030,12.958
0.687,0.033,14.228
0.702,0.037,14.578
0.716,0.041,15.609
0.731,0.045,16.108
0.745,0.050,16.814
0.759,0.054,17.249
0.774,0.059,17.710
0.788,0.063,18.628
0.802,0.068,19.302
0.816,0.073,19.913
0.830,0.079,20.499
0.844,0.084,21.094
0.858,0.090,21.912
0.872,0.095,22.090
0.886,0.101,22.183
0.900,0.107,23.431
0.913,0.113,23.727
0.927,0.119,24.161
0.941,0.126,25.575
0.954,0.132,25.137
0.968,0.138,24.594
0.981,0.144,24.160
0.995,0.151,24.305
1.009,0.157,25.477
1.022,0.163,25.784
1.035,0.170,27.733
1.049,0.178,28.262
1.062,0.185,29.655
1.075,0.193,30.597
1.087,0.200,31.580
1.100,0.209,32.520
1.113,0.217,33.374
1.125,0.225,34.480
1.137,0.234,35.458
1.149,0.243,36.309
1.161,0.252,39.080
1.172,0.262,40.942
1.183,0.272,41.918
1.194,0.282,43.321
1.205,0.293,44.214
1.215,0.304,46.180
1.226,0.315,47.027
1.236,0.326,47.789
1.246,0.337,49.084
1.255,0.349,50.008
1.264,0.360,52.095
1.273,0.373,54.615
1.282,0.385,55.083
1.290,0.398,56.763
1.298,0.410,57.189
1.306,0.423,57.574
