0.015,-0.000,359.996
0.030,0.000,0.621
0.045,0.001,1.683
0.060,0.001,1.995
0.075,0.002,2.557
0.090,0.003,2.744
0.105,0.003,2.929
0.120,0.004,2.928
0.135,0.005,2.740
0.150,0.005,2.241
0.165,0.006,1.742
0.180,0.006,1.491
0.195,0.007,1.305
0.210,0.007,1.117
0.225,0.007,0.867
0.240,0.007,0.555
0.255,0.007,0.305
0.270,0.007,0.056
0.285,0.007,359.806
0.300,0.007,359.493
0.315,0.007,359.368
0.330,0.007,359.243
0.345,0.007,359.182
0.360,0.006,359.182
0.375,0.006,359.121
0.390,0.006,359.120
0.405,0.006,359.183
0.420,0.005,359.245
0.435,0.005,359.371
0.450,0.005,359.686
0.465,0.005,359.997
0.480,0.005,0.498
0.495,0.006,1.436
0.510,0.006,1.811
0.525,0.007,2.248
0.540,0.008,3.127
0.555,0.008,3.439
0.570,0.010,4.124
0.585,0.011,4.812
0.600,0.012,5.499
0.615,0.014,6.063
0.629,0.016,6.748
0.644,0.018,7.436
0.659,0.020,8.687
0.674,0.022,9.936
0.689,0.025,10.560
0.703,0.028,11.059
0.718,0.031,11.998
0.733,0.034,12.497
0.747,0.038,12.934
0.762,0.041,13.559
0.776,0.045,13.934
0.791,0.049,14.683
0.805,0.053,15.058
0.820,0.057,15.682
0.834,0.061,16.121
0.849,0.065,16.620
0.863,0.069,16.869
0.877,0.074,17.119
0.892,0.078,17.244
0.906,0.083,17.500
0.920,0.087,17.922
0.934,0.092,18.547
0.949,0.097,18.735
0.963,0.102,18.076
0.977,0.106,17.264
0.992,0.110,16.611
1.006,0.115,16.810
1.020,0.119,16.942
1.035,0.124,17.378
1.049,0.128,18.128
1.063,0.133,18.890
1.077,0.138,20.890
1.091,0.144,22.265
1.105,0.150,23.703
1.118,0.157,25.078
1.132,0.163,26.328
1.145,0.170,27.953
1.158,0.178,29.390
1.171,0.185,30.640
1.184,0.193,31.889
1.196,0.202,34.639
1.208,0.211,36.077
1.220,0.220,37.321
1.232,0.229,38.638
1.243,0.239,39.825
1.255,0.248,41.075
1.266,0.259,42.200
1.277,0.269,43.512
1.287,0.279,44.880
1.298,0.290,46.070
1.308,0.301,47.880
1.318,0.313,48.567
1.328,0.324,49.127
1.337,0.335,49.752
1.347,0.347,50.316
1.356,0.359,50.755
1.366,0.370,51.193
1.375,0.382,51.756
