0.015,0.000,0.000
0.030,0.000,0.625
0.045,0.001,1.688
0.060,0.001,2.000
0.075,0.002,2.563
0.090,0.003,2.750
0.105,0.003,2.938
0.120,0.004,2.938
0.135,0.005,2.750
0.150,0.005,2.250
0.165,0.006,1.750
0.180,0.006,1.500
0.195,0.007,1.313
0.210,0.007,1.125
0.225,0.007,0.875
0.240,0.007,0.563
0.255,0.007,0.313
0.270,0.007,0.063
0.285,0.007,359.813
0.300,0.007,359.500
0.315,0.007,359.375
0.330,0.007,359.250
0.345,0.007,359.188
0.360,0.006,359.188
0.375,0.006,359.125
0.390,0.006,359.125
0.405,0.006,359.188
0.420,0.005,359.250
0.435,0.005,359.375
0.450,0.005,359.688
0.465,0.005,0.000
0.480,0.005,0.500
0.495,0.006,1.438
0.510,0.006,1.813
0.525,0.007,2.250
0.540,0.008,3.125
0.555,0.009,3.438
0.570,0.010,4.125
0.585,0.011,4.813
0.600,0.012,5.500
0.615,0.014,6.063
0.629,0.016,6.750
0.644,0.018,7.438
0.659,0.020,8.688
0.674,0.022,9.938
0.689,0.025,10.563
0.703,0.028,11.063
0.718,0.031,12.000
0.733,0.034,12.500
0.747,0.038,12.938
0.762,0.041,13.563
0.776,0.045,13.938
0.791,0.049,14.688
0.805,0.053,15.063
0.820,0.057,15.688
0.834,0.061,16.125
0.849,0.065,16.625
0.863,0.070,16.875
0.877,0.074,17.125
0.892,0.078,17.250
0.906,0.083,17.500
0.920,0.088,17.938
0.934,0.092,18.563
0.949,0.097,18.750
0.963,0.102,18.063
0.977,0.106,17.250
0.992,0.110,16.625
1.006,0.115,16.813
1.020,0.119,16.938
1.035,0.124,17.375
1.049,0.128,18.125
1.063,0.133,18.875
1.077,0.139,20.875
1.091,0.144,22.250
1.105,0.150,23.688
1.118,0.157,25.063
1.132,0.163,26.313
1.145,0.170,27.938
1.158,0.178,29.375
1.171,0.185,30.625
1.184,0.193,31.875
1.196,0.202,34.625
1.208,0.211,36.063
1.220,0.220,37.313
1.232,0.229,38.625
1.243,0.239,39.813
1.255,0.248,41.063
1.266,0.259,42.188
1.277,0.269,43.500
1.287,0.279,44.875
1.298,0.290,46.063
1.308,0.301,47.875
1.318,0.313,48.563
1.328,0.324,49.125
1.337,0.335,49.750
1.347,0.347,50.313
1.356,0.359,50.750
1.366,0.370,51.188
1.375,0.382,51.750
1.384,0.394,53.063
1.393,0.406,53.875
1.401,0.418,55.438
1.410,0.431,55.813
1.418,0.443,55.563
1.427,0.456,55.563
1.435,0.468,57.375
1.443,0.481,58.313
1.450,0.494,59.188
1.458,0.507,60.375
1.465,0.520,60.813
1.472,0.533,62.688
1.479,0.547,62.750
1.486,0.560,63.000
1.492,0.573,63.375
1.499,0.587,64.375
1.505,0.601,65.813
1.511,0.615,67.188
1.516,0.628,68.063
1.522,0.642,68.875
1.527,0.657,70.250
1.532,0.671,71.625
1.536,0.685,74.250
1.539,0.700,76.938
1.542,0.715,78.125
1.545,0.729,79.000
1.547,0.744,81.563
1.549,0.759,82.500
1.551,0.774,83.250
1.553,0.789,83.688
1.554,0.804,84.813
1.555,0.819,85.875
1.556,0.834,87.000
1.556,0.849,89.500
1.556,0.864,90.875
1.555,0.879,92.063
1.554,0.894,94.250
1.553,0.909,94.875
1.551,0.923,95.188
1.550,0.938,95.250
1.549,0.953,95.313
1.547,0.968,95.250
1.546,0.983,95.375
1.544,0.998,95.625
1.543,1.013,95.813
1.541,1.028,96.188
1.540,1.043,96.563
1.538,1.058,96.750
1.536,1.073,96.813
1.534,1.088,96.750
1.533,1.102,96.750
1.531,1.117,96.875
1.529,1.132,97.563
1.527,1.147,98.000
1.524,1.162,99.750
1.521,1.177,100.813
1.518,1.191,102.938
1.514,1.206,104.125
1.510,1.220,105.125
1.506,1.235,107.563
1.501,1.249,108.750
1.496,1.263,110.063
1.490,1.277,111.313
1.485,1.291,112.625
1.479,1.304,113.938
1.472,1.318,115.313
1.465,1.331,116.688
1.458,1.345,117.938
1.451,1.358,119.375
1.443,1.371,120.813
1.435,1.383,122.313
1.427,1.396,123.500
1.419,1.408,124.625
1.410,1.420,125.438
1.401,1.432,127.750
1.391,1.444,129.750
1.381,1.455,131.000
1.371,1.466,132.250
1.361,1.477,133.625
1.350,1.488,135.063
1.339,1.498,136.375
1.328,1.508,139.000
1.316,1.517,140.250
1.305,1.526,143.000
1.292,1.535,144.250
1.280,1.544,145.125
1.268,1.552,145.750
1.255,1.560,146.938
1.242,1.568,147.250
1.230,1.576,148.125
1.217,1.584,149.125
1.204,1.591,151.813
1.190,1.598,153.188
1.177,1.604,154.063
1.163,1.611,155.125
1.149,1.617,156.125
1.136,1.623,156.750
1.122,1.629,157.313
1.108,1.634,157.938
1.094,1.640,159.188
1.080,1.645,159.750
1.066,1.650,160.375
1.051,1.655,160.938
1.037,1.659,162.313
1.023,1.663,165.188
1.008,1.666,167.625
0.993,1.669,169.063
0.979,1.672,170.125
0.964,1.674,171.063
0.949,1.676,171.688
0.934,1.678,172.313
0.919,1.680,172.875
0.904,1.682,173.313
0.889,1.683,173.875
0.874,1.685,174.188
0.859,1.686,174.625
