0.015,0.000,0.000
0.030,-0.000,359.840
0.045,-0.000,358.890
0.060,-0.001,358.390
0.075,-0.002,356.890
0.090,-0.002,356.480
0.105,-0.003,356.450
0.120,-0.005,354.660
0.135,-0.006,354.610
0.150,-0.008,353.260
0.165,-0.010,351.490
0.179,-0.013,349.270
0.194,-0.016,349.270
0.209,-0.019,349.040
0.223,-0.022,347.230
0.238,-0.026,345.120
0.252,-0.030,344.500
0.267,-0.034,344.320
0.281,-0.037,346.780
0.296,-0.041,346.790
0.311,-0.044,347.910
0.325,-0.047,347.910
0.340,-0.049,350.550
0.355,-0.052,351.260
0.370,-0.054,353.080
0.385,-0.055,353.840
0.400,-0.057,354.570
0.415,-0.058,356.230
0.430,-0.057,2.380
0.445,-0.056,1.800
0.460,-0.055,3.830
0.474,-0.054,5.190
0.489,-0.053,5.190
0.504,-0.051,5.190
0.519,-0.050,5.190
0.534,-0.048,5.970
0.549,-0.047,5.970
0.564,-0.045,8.080
0.579,-0.043,8.080
0.594,-0.040,8.590
0.608,-0.038,11.050
0.623,-0.035,11.050
0.638,-0.032,11.050
0.652,-0.028,15.220
0.666,-0.023,19.680
0.680,-0.017,22.370
0.694,-0.011,22.370
0.708,-0.005,23.590
0.722,0.001,24.070
0.735,0.007,25.350
0.749,0.014,25.350
0.762,0.020,25.980
0.776,0.027,27.250
0.789,0.034,28.560
0.802,0.041,29.120
0.815,0.049,30.010
0.828,0.057,30.790
0.840,0.065,32.820
0.853,0.073,32.820
0.866,0.081,32.820
0.878,0.090,36.180
0.890,0.099,36.180
0.902,0.108,36.180
0.913,0.117,40.190
0.925,0.127,40.190
0.936,0.137,40.190
0.948,0.146,40.190
0.959,0.156,40.190
0.970,0.166,43.530
0.981,0.177,43.530
0.991,0.188,47.970
1.001,0.199,47.970
1.011,0.210,48.050
1.021,0.221,48.050
1.031,0.232,48.050
1.041,0.244,48.050
1.051,0.255,48.050
1.061,0.266,48.050
1.071,0.277,48.050
1.081,0.288,48.050
1.090,0.300,53.950
1.099,0.312,53.950
1.108,0.325,53.950
1.116,0.337,55.660
1.125,0.349,55.660
1.132,0.362,59.200
1.140,0.375,59.200
1.148,0.388,59.200
1.155,0.401,60.440
1.162,0.414,60.440
1.169,0.428,64.330
1.174,0.442,68.270
1.180,0.455,68.270
1.185,0.470,72.190
1.189,0.484,72.190
1.194,0.498,72.190
1.198,0.513,72.190
1.203,0.527,72.190
1.209,0.541,68.370
1.214,0.555,68.370
1.220,0.569,68.370
1.224,0.583,71.900
1.229,0.597,71.900
1.234,0.611,71.900
1.238,0.626,71.900
1.243,0.640,71.900
1.248,0.654,71.900
1.252,0.668,71.900
1.258,0.682,65.310
1.265,0.696,65.310
1.271,0.709,65.310
1.277,0.723,65.310
1.284,0.737,65.310
1.289,0.750,67.120
1.295,0.764,68.720
1.300,0.779,70.110
1.305,0.793,70.110
1.310,0.807,70.110
1.315,0.821,72.360
1.319,0.835,72.360
1.323,0.850,77.170
1.326,0.865,77.170
1.329,0.879,78.580
1.332,0.894,78.580
1.335,0.909,78.580
1.338,0.923,78.580
1.340,0.938,79.570
1.343,0.953,79.570
1.345,0.968,84.660
1.346,0.983,85.950
1.347,0.998,86.500
1.347,1.013,86.500
1.348,1.028,86.500
1.349,1.043,87.050
1.350,1.058,87.890
1.350,1.073,90.180
1.350,1.088,90.180
1.350,1.103,90.180
1.349,1.118,91.710
1.349,1.133,91.710
1.348,1.148,93.720
1.347,1.163,93.720
1.346,1.178,93.720
1.345,1.193,93.720
1.343,1.207,96.580
1.341,1.222,96.580
1.340,1.237,96.480
1.338,1.252,96.480
1.336,1.267,96.480
1.335,1.282,94.000
1.334,1.297,94.000
1.333,1.312,94.000
1.332,1.327,94.000
1.330,1.342,99.300
1.327,1.357,99.300
1.325,1.371,99.300
1.322,1.386,99.300
1.320,1.401,99.300
1.318,1.416,99.300
1.315,1.431,99.300
1.313,1.445,99.300
1.309,1.460,103.410
1.306,1.475,103.410
1.302,1.489,103.410
1.299,1.504,103.410
1.295,1.518,103.410
1.291,1.533,105.170
1.287,1.547,105.170
1.284,1.562,105.170
1.280,1.576,105.170
1.276,1.591,105.170
1.272,1.605,105.170
1.268,1.620,105.170
1.264,1.634,105.170
1.259,1.648,107.560
1.255,1.663,107.560
1.250,1.677,108.620
1.245,1.691,108.620
1.239,1.705,114.390
1.233,1.718,114.740
1.226,1.732,114.740
1.219,1.745,120.610
1.211,1.758,120.610
1.204,1.771,120.610
1.196,1.784,120.610
1.188,1.796,123.220
1.179,1.809,123.810
1.171,1.821,123.810
1.163,1.834,123.810
1.154,1.846,123.970
1.146,1.859,123.970
1.138,1.871,123.970
1.129,1.883,123.970
1.121,1.896,124.500
1.111,1.907,128.630
1.102,1.919,128.630
1.093,1.931,128.630
1.083,1.942,130.660
1.073,1.954,130.660
1.063,1.965,131.580
1.053,1.976,131.580
1.043,1.987,131.580
1.033,1.999,131.600
1.023,2.010,132.040
1.013,2.021,132.730
1.003,2.032,132.730
0.992,2.042,136.910
0.981,2.052,137.010
0.970,2.062,139.020
0.958,2.072,139.020
0.947,2.081,140.570
0.935,2.091,140.850
0.923,2.100,140.850
0.912,2.110,141.840
0.900,2.119,142.980
0.888,2.128,143.050
0.876,2.137,143.210
0.863,2.145,143.870
0.851,2.154,144.220
0.839,2.163,145.580
0.826,2.171,147.180
0.814,2.179,147.180
0.801,2.187,147.190
0.789,2.195,147.190
0.776,2.203,148.440
0.763,2.211,149.580
0.750,2.218,150.280
0.737,2.225,151.080
0.724,2.233,151.080
